Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
21/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SMAL11,Real,"R$ 0,20",Aluguel de ações,,,,,,,,,,,,,,
26/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,00",Dividendo,,,,,,,,,,,,,,
28/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PSSA3,Real,"R$ 0,98",Dividendo,,,,,,,,,,,,,,
09/09/2020,9/2020,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,02",Dividendo,,,,,,,,,,,,,,
15/09/2020,9/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BOVA11,Real,"R$ 0,73",Aluguel de ações,,,,,,,,,,,,,,
15/09/2020,9/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 35,55",Rendimentos,,,,,,,,,,,,,,
15/09/2020,9/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 36,50",Rendimentos,,,,,,,,,,,,,,
15/09/2020,9/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 33,82",Rendimentos,,,,,,,,,,,,,,
15/09/2020,9/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
30/09/2020,9/2020,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"$1,57",Dividendo,,,,,,,,,,,,,,
30/09/2020,9/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 11,53",Juros sobre capital próprio,,,,,,,,,,,,,,
30/09/2020,9/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VALE3,Real,"R$ 1,70",Juros sobre capital próprio,,,,,,,,,,,,,,
30/09/2020,9/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VALE3,Real,"R$ 2,82",Dividendo,,,,,,,,,,,,,,
01/10/2020,10/2020,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"$2,00",Dividendo,,,,,,,,,,,,,,
01/10/2020,10/2020,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"$2,51",Dividendo,,,,,,,,,,,,,,
01/10/2020,10/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,00",Dividendo,,,,,,,,,,,,,,
01/10/2020,10/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,06",Juros sobre capital próprio,,,,,,,,,,,,,,
02/10/2020,10/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,EZTC3,Real,"R$ 3,52",Dividendo,,,,,,,,,,,,,,
07/10/2020,10/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 9,08",Dividendo,,,,,,,,,,,,,,
07/10/2020,10/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 1,76",Juros sobre capital próprio,,,,,,,,,,,,,,
15/10/2020,10/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 35,55",Rendimentos,,,,,,,,,,,,,,
15/10/2020,10/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 36,50",Rendimentos,,,,,,,,,,,,,,
15/10/2020,10/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 33,60",Rendimentos,,,,,,,,,,,,,,
15/10/2020,10/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
28/10/2020,10/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BOVA11,Real,"R$ 0,04",Aluguel de ações,,,,,,,,,,,,,,
16/11/2020,11/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 39,50",Rendimentos,,,,,,,,,,,,,,
16/11/2020,11/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 40,15",Rendimentos,,,,,,,,,,,,,,
16/11/2020,11/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
16/11/2020,11/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
18/11/2020,11/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GRND3,Real,"R$ 1,05",Dividendo,,,,,,,,,,,,,,
18/11/2020,11/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GGBR4,Real,"R$ 0,60",Dividendo,,,,,,,,,,,,,,
25/11/2020,11/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WIZC3,Real,"R$ 3,67",Dividendo,,,,,,,,,,,,,,
03/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,RADL3,Real,"R$ 0,12",Juros sobre capital próprio,,,,,,,,,,,,,,
09/12/2020,12/2020,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,02",Dividendo,,,,,,,,,,,,,,
14/12/2020,12/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 41,87",Rendimentos,,,,,,,,,,,,,,
14/12/2020,12/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 40,15",Rendimentos,,,,,,,,,,,,,,
14/12/2020,12/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
14/12/2020,12/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,55",Rendimentos,,,,,,,,,,,,,,
15/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FLRY3,Real,"R$ 3,74",Dividendo,,,,,,,,,,,,,,
15/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PETR4,Real,"R$ 0,00",Dividendo,,,,,,,,,,,,,,
17/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CYRE3,Real,"R$ 0,77",Dividendo,,,,,,,,,,,,,,
21/12/2020,12/2020,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 2,56",Dividendo,,,,,,,,,,,,,,
29/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CYRE3,Real,"R$ 9,36",Dividendo,,,,,,,,,,,,,,
29/12/2020,12/2020,"PASSFOLIO SECURITIES, LLC",ESPO,Dolar,"R$ 0,82",Dividendo,,,,,,,,,,,,,,
30/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBAS3,Real,"R$ 0,50",Juros sobre capital próprio,,,,,,,,,,,,,,
30/12/2020,12/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ABEV3,Real,"R$ 18,64",Juros sobre capital próprio,,,,,,,,,,,,,,
31/12/2020,12/2020,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 10,44",Dividendo,,,,,,,,,,,,,,
04/01/2021,1/2021,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 4,51",Dividendo,,,,,,,,,,,,,,
04/01/2021,1/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,00",Dividendo,,,,,,,,,,,,,,
04/01/2021,1/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,10",Juros sobre capital próprio,,,,,,,,,,,,,,
07/01/2021,1/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 2,12",Juros sobre capital próprio,,,,,,,,,,,,,,
08/01/2021,1/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 6,56",Dividendo,,,,,,,,,,,,,,
08/01/2021,1/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 2,00",Juros sobre capital próprio,,,,,,,,,,,,,,
15/01/2021,1/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 41,87",Rendimentos,,,,,,,,,,,,,,
15/01/2021,1/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 54,75",Rendimentos,,,,,,,,,,,,,,
15/01/2021,1/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 147,28",Rendimentos,,,,,,,,,,,,,,
15/01/2021,1/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
01/02/2021,2/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,13",Juros sobre capital próprio,,,,,,,,,,,,,,
12/02/2021,2/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 44,24",Rendimentos,,,,,,,,,,,,,,
12/02/2021,2/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 40,15",Rendimentos,,,,,,,,,,,,,,
12/02/2021,2/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
12/02/2021,2/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
17/02/2021,2/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 55,57",Pgto. Juros,,,,,,,,,,,,,,
01/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,13",Juros sobre capital próprio,,,,,,,,,,,,,,
05/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FLRY3,Real,"R$ 5,39",Juros sobre capital próprio,,,,,,,,,,,,,,
08/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,15",Juros sobre capital próprio,,,,,,,,,,,,,,
10/03/2021,3/2021,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,02",Dividendo,,,,,,,,,,,,,,
10/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 5,24",Dividendo,,,,,,,,,,,,,,
10/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 0,47",Juros sobre capital próprio,,,,,,,,,,,,,,
10/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 0,53",Juros sobre capital próprio,,,,,,,,,,,,,,
12/03/2021,3/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 44,24",Rendimentos,,,,,,,,,,,,,,
12/03/2021,3/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 40,15",Rendimentos,,,,,,,,,,,,,,
12/03/2021,3/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
12/03/2021,3/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
12/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 8,64",Juros sobre capital próprio,,,,,,,,,,,,,,
12/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 1,77",Juros sobre capital próprio,,,,,,,,,,,,,,
15/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VALE3,Real,"R$ 10,27",Dividendo,,,,,,,,,,,,,,
15/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VALE3,Real,"R$ 2,13",Juros sobre capital próprio,,,,,,,,,,,,,,
18/03/2021,3/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BOVA11,Real,"R$ 0,16",Aluguel de ações,,,,,,,,,,,,,,
25/03/2021,3/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GGBR4,Real,"R$ 1,02",Juros sobre capital próprio,,,,,,,,,,,,,,
31/03/2021,3/2021,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 3,74",Dividendo,,,,,,,,,,,,,,
31/03/2021,3/2021,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 4,59",Dividendo,,,,,,,,,,,,,,
01/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,15",Juros sobre capital próprio,,,,,,,,,,,,,,
01/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FLRY3,Real,"R$ 19,28",Dividendo,,,,,,,,,,,,,,
01/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,10",Dividendo,,,,,,,,,,,,,,
01/04/2021,4/2021,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 2,53",Dividendo,,,,,,,,,,,,,,
08/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 1,94",Juros sobre capital próprio,,,,,,,,,,,,,,
08/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 7,86",Dividendo,,,,,,,,,,,,,,
15/04/2021,4/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 44,24",Rendimentos,,,,,,,,,,,,,,
15/04/2021,4/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 40,88",Rendimentos,,,,,,,,,,,,,,
15/04/2021,4/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
15/04/2021,4/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
22/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,MDIA3,Real,"R$ 1,15",Juros sobre capital próprio,,,,,,,,,,,,,,
30/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CCR03,Real,"R$ 1,61",Dividendo,,,,,,,,,,,,,,
30/04/2021,4/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 82,06",Dividendo,,,,,,,,,,,,,,
03/05/2021,5/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,12",Juros sobre capital próprio,,,,,,,,,,,,,,
03/05/2021,5/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,MDIA3,Real,"R$ 6,61",Juros sobre capital próprio,,,,,,,,,,,,,,
05/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,JBSS3,Real,"R$ 8,13",Dividendo,,,,,,,,,,,,,,
11/05/2021,5/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 11,71",Dividendo,,,,,,,,,,,,,,
12/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 34,40",Dividendo,,,,,,,,,,,,,,
12/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 9,23",Juros sobre capital próprio,,,,,,,,,,,,,,
12/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CSNA3,Real,"R$ 5,22",Dividendo,,,,,,,,,,,,,,
14/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 39,50",Rendimentos,,,,,,,,,,,,,,
14/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 43,80",Rendimentos,,,,,,,,,,,,,,
14/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 43,68",Rendimentos,,,,,,,,,,,,,,
14/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
08/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 8,08",Dividendo,,,,,,,,,,,,,,
21/05/2021,5/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,EZTC3,Real,"R$ 11,02",Dividendo,,,,,,,,,,,,,,
25/05/2021,5/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WIZC3,Real,"R$ 7,39",Dividendo,,,,,,,,,,,,,,
01/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BBDC4,Real,"R$ 0,17",Juros sobre capital próprio,,,,,,,,,,,,,,
01/06/2021,6/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 0,01",Juros sobre capital próprio,,,,,,,,,,,,,,
09/06/2021,6/2021,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
14/06/2021,6/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CYRE3,Real,"R$ 9,78",Dividendo,,,,,,,,,,,,,,
15/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 39,50",Rendimentos,,,,,,,,,,,,,,
15/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 43,80",Rendimentos,,,,,,,,,,,,,,
15/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 56,00",Rendimentos,,,,,,,,,,,,,,
15/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
17/06/2021,6/2021,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 2,68",Dividendo,,,,,,,,,,,,,,
18/06/2021,6/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SAPR11,Real,"R$ 17,01",Juros sobre capital próprio,,,,,,,,,,,,,,
18/06/2021,6/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SAPR11,Real,"R$ 12,87",Juros sobre capital próprio,,,,,,,,,,,,,,
21/06/2021,6/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BBDC4,Real,"R$ 19,66",LEILÃO DE FRAÇÕES,,,,,,,,,,,,,,
30/06/2021,6/2021,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 4,35",Dividendo,,,,,,,,,,,,,,
30/06/2021,6/2021,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 6,88",Dividendo,,,,,,,,,,,,,,
30/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VALE3,Real,"R$ 2,88",Dividendo,,,,,,,,,,,,,,
30/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VALE3,Real,"R$ 5,87",Dividendo,,,,,,,,,,,,,,
30/06/2021,6/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 1,15",Juros sobre capital próprio,,,,,,,,,,,,,,
01/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 3,08",Dividendo,,,,,,,,,,,,,,
07/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 12,13",Dividendo,,,,,,,,,,,,,,
07/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 2,82",Juros sobre capital próprio,,,,,,,,,,,,,,
13/07/2021,7/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VIVT4,Real,"R$ 0,14",Juros sobre capital próprio,,,,,,,,,,,,,,
13/07/2021,7/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VIVT4,Real,"R$ 0,08",Juros sobre capital próprio,,,,,,,,,,,,,,
14/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
15/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 35,55",Rendimentos,,,,,,,,,,,,,,
15/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 43,80",Rendimentos,,,,,,,,,,,,,,
15/07/2021,7/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 123,20",Rendimentos,,,,,,,,,,,,,,
02/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITUB4,Real,"R$ 0,15",Dividendo,,,,,,,,,,,,,,
10/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CSNA3,Real,"R$ 7,60",Dividendo,,,,,,,,,,,,,,
11/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE6,Real,"R$ 0,07",Dividendo,,,,,,,,,,,,,,
11/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE11,Real,"R$ 13,27",Dividendo,,,,,,,,,,,,,,
11/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 0,52",Juros sobre capital próprio,,,,,,,,,,,,,,
11/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 4,74",Dividendo,,,,,,,,,,,,,,
11/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 42,16",Juros sobre capital próprio,,,,,,,,,,,,,,
11/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 8,09",Dividendo,,,,,,,,,,,,,,
11/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 7,48",Juros sobre capital próprio,,,,,,,,,,,,,,
11/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 0,43",Juros sobre capital próprio,,,,,,,,,,,,,,
12/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BPAC11,Real,"R$ 1,73",Juros sobre capital próprio,,,,,,,,,,,,,,
13/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 28,29",Rendimentos,,,,,,,,,,,,,,
13/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 37,13",Rendimentos,,,,,,,,,,,,,,
