Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
13/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 43,80",Rendimentos,,,,,,,,,,,,,,
13/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 61,60",Rendimentos,,,,,,,,,,,,,,
16/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,FLRY3,Real,"R$ 5,00",Juros sobre capital próprio,,,,,,,,,,,,,,
16/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 59,27",Pgto. Juros,,,,,,,,,,,,,,
16/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 25,66",Pgto. Juros,,,,,,,,,,,,,,
18/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 3,32",Dividendo,,,,,,,,,,,,,,
24/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,JBSS3,Real,"R$ 11,01",Dividendo,,,,,,,,,,,,,,
26/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 1,92",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 1,38",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 2,79",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 4,89",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 2,41",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITUB4,Real,"R$ 1,33",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 2,79",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 4,89",Juros sobre capital próprio,,,,,,,,,,,,,,
26/08/2021,8/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 2,41",Juros sobre capital próprio,,,,,,,,,,,,,,
01/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITUB4,Real,"R$ 0,18",Dividendo,,,,,,,,,,,,,,
08/09/2021,9/2021,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
15/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 43,50",Rendimentos,,,,,,,,,,,,,,
15/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 61,60",Rendimentos,,,,,,,,,,,,,,
15/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 4,16",Rendimentos,,,,,,,,,,,,,,
15/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 43,80",Rendimentos,,,,,,,,,,,,,,
15/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 29,93",Rendimentos,,,,,,,,,,,,,,
30/09/2021,9/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 1,15",Juros sobre capital próprio,,,,,,,,,,,,,,
30/09/2021,9/2021,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 4,50",Dividendo,,,,,,,,,,,,,,
30/09/2021,9/2021,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 6,27",Dividendo,,,,,,,,,,,,,,
01/09/2021,9/2021,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 3,88",Dividendo,,,,,,,,,,,,,,
07/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 19,40",Dividendo,,,,,,,,,,,,,,
07/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 4,85",Juros sobre capital próprio,,,,,,,,,,,,,,
15/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 43,50",Rendimentos,,,,,,,,,,,,,,
15/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
15/10/2021,10/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 35,42",Rendimentos,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 43,50",Rendimentos,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 35,42",Rendimentos,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 41,18",Dividendo,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 4,93",Juros sobre capital próprio,,,,,,,,,,,,,,
16/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 9,37",Juros sobre capital próprio,,,,,,,,,,,,,,
17/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,TRPL4,Real,"R$ 21,91",Juros sobre capital próprio,,,,,,,,,,,,,,
17/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,TRPL4,Real,"R$ 17,46",Dividendo,,,,,,,,,,,,,,
24/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 13,58",Dividendo,,,,,,,,,,,,,,
25/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WIZC3,Real,"R$ 41,92",Dividendo,,,,,,,,,,,,,,
30/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE11,Real,"R$ 15,53",Juros sobre capital próprio,,,,,,,,,,,,,,
30/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE11,Real,"R$ 91,23",Dividendo,,,,,,,,,,,,,,
30/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE6,Real,"R$ 0,08",Juros sobre capital próprio,,,,,,,,,,,,,,
30/11/2021,11/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE6,Real,"R$ 0,45",Dividendo,,,,,,,,,,,,,,
08/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
14/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 55,00",Rendimentos,,,,,,,,,,,,,,
14/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
14/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 35,42",Rendimentos,,,,,,,,,,,,,,
20/12/2021,12/2021,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 3,44",Dividendo,,,,,,,,,,,,,,
28/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 7,38",Dividendo,,,,,,,,,,,,,,
28/12/2021,12/2021,"PASSFOLIO SECURITIES, LLC",ESPO,Dolar,"R$ 42,70",Dividendo,,,,,,,,,,,,,,
28/12/2021,12/2021,"PASSFOLIO SECURITIES, LLC",ESPO,Dolar,"R$ 4,51",Dividendo,,,,,,,,,,,,,,
28/12/2021,12/2021,"PASSFOLIO SECURITIES, LLC",ESPO,Dolar,"R$ 0,98",Dividendo,,,,,,,,,,,,,,
30/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ABEV3,Real,"R$ 11,73",Dividendo,,,,,,,,,,,,,,
30/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ABEV3,Real,"R$ 35,17",Juros sobre capital próprio,,,,,,,,,,,,,,
30/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 19,27",Dividendo,,,,,,,,,,,,,,
30/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,FLRY3,Real,"R$ 5,64",Juros sobre capital próprio,,,,,,,,,,,,,,
30/12/2021,12/2021,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 1,32",Juros sobre capital próprio,,,,,,,,,,,,,,
31/12/2021,12/2021,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 10,05",Dividendo,,,,,,,,,,,,,,
03/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 3,12",Juros sobre capital próprio,,,,,,,,,,,,,,
03/01/2022,1/2022,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 6,89",Dividendo,,,,,,,,,,,,,,
07/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 5,46",Juros sobre capital próprio,,,,,,,,,,,,,,
14/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,71",Rendimentos,,,,,,,,,,,,,,
14/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
14/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 120,75",Rendimentos,,,,,,,,,,,,,,
14/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 40,48",Rendimentos,,,,,,,,,,,,,,
18/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,TRPL4,Real,"R$ 4,88",Juros sobre capital próprio,,,,,,,,,,,,,,
27/01/2022,1/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SUZB3,Real,"R$ 14,08",Dividendo,,,,,,,,,,,,,,
14/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,40",Rendimentos,,,,,,,,,,,,,,
14/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 57,00",Rendimentos,,,,,,,,,,,,,,
14/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 37,26",Rendimentos,,,,,,,,,,,,,,
15/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 62,38",Pgto. Juros,,,,,,,,,,,,,,
15/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 26,96",Pgto. Juros,,,,,,,,,,,,,,
18/02/2022,2/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 71,26",Juros sobre capital próprio,,,,,,,,,,,,,,
04/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 8,36",LEILÃO DE FRAÇÕES,,,,,,,,,,,,,,
09/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
11/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 21,85",Juros sobre capital próprio,,,,,,,,,,,,,,
11/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 20,52",Juros sobre capital próprio,,,,,,,,,,,,,,
15/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,40",Rendimentos,,,,,,,,,,,,,,
15/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 58,80",Rendimentos,,,,,,,,,,,,,,
15/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 37,26",Rendimentos,,,,,,,,,,,,,,
16/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 7,00",Dividendo,,,,,,,,,,,,,,
16/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 0,53",Juros sobre capital próprio,,,,,,,,,,,,,,
16/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 1,09",Juros sobre capital próprio,,,,,,,,,,,,,,
16/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 12,10",Dividendo,,,,,,,,,,,,,,
29/03/2022,3/2022,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 6,12",Dividendo,,,,,,,,,,,,,,
31/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,EZTC3,Real,"R$ 23,93",Dividendo,,,,,,,,,,,,,,
31/03/2022,3/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 2,04",Juros sobre capital próprio,,,,,,,,,,,,,,
31/03/2022,3/2022,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 4,26",Dividendo,,,,,,,,,,,,,,
31/03/2022,3/2022,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 3,77",Dividendo,,,,,,,,,,,,,,
01/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 3,12",Juros sobre capital próprio,,,,,,,,,,,,,,
04/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,FLRY3,Real,"R$ 63,17",Dividendo,,,,,,,,,,,,,,
08/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 19,67",Dividendo,,,,,,,,,,,,,,
08/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 6,41",Juros sobre capital próprio,,,,,,,,,,,,,,
14/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,40",Rendimentos,,,,,,,,,,,,,,
14/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 58,80",Rendimentos,,,,,,,,,,,,,,
14/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 37,26",Rendimentos,,,,,,,,,,,,,,
29/04/2022,4/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WIZC3,Real,"R$ 8,02",Dividendo,,,,,,,,,,,,,,
04/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,LREN3,Real,"R$ 0,50",Juros sobre capital próprio,,,,,,,,,,,,,,
13/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SUZB3,Real,"R$ 11,26",Dividendo,,,,,,,,,,,,,,
13/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,40",Rendimentos,,,,,,,,,,,,,,
13/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 58,80",Rendimentos,,,,,,,,,,,,,,
13/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
13/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 42,84",Rendimentos,,,,,,,,,,,,,,
18/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
18/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 8,87",Juros sobre capital próprio,,,,,,,,,,,,,,
25/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 6,67",Dividendo,,,,,,,,,,,,,,
25/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 16,96",Juros sobre capital próprio,,,,,,,,,,,,,,
25/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 4,50",Juros sobre capital próprio,,,,,,,,,,,,,,
31/05/2022,5/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,EZTC3,Real,"R$ 5,86",Dividendo,,,,,,,,,,,,,,
08/06/2022,6/2022,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
14/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 59,40",Rendimentos,,,,,,,,,,,,,,
14/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 64,20",Rendimentos,,,,,,,,,,,,,,
14/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
16/06/2022,6/2022,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 3,61",Dividendo,,,,,,,,,,,,,,
24/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SAPR11,Real,"R$ 44,79",Juros sobre capital próprio,,,,,,,,,,,,,,
24/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SAPR11,Real,"R$ 5,98",Dividendo,,,,,,,,,,,,,,
24/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SAPR11,Real,"R$ 34,85",Juros sobre capital próprio,,,,,,,,,,,,,,
29/06/2022,6/2022,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 6,68",Dividendo,,,,,,,,,,,,,,
30/06/2022,6/2022,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 5,00",Dividendo,,,,,,,,,,,,,,
30/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE11,Real,"R$ 18,35",Juros sobre capital próprio,,,,,,,,,,,,,,
30/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE11,Real,"R$ 117,04",Dividendo,,,,,,,,,,,,,,
30/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE6,Real,"R$ 0,09",Juros sobre capital próprio,,,,,,,,,,,,,,
30/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,CPLE6,Real,"R$ 0,51",Dividendo,,,,,,,,,,,,,,
30/06/2022,6/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 2,04",Juros sobre capital próprio,,,,,,,,,,,,,,
01/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 3,84",Juros sobre capital próprio,,,,,,,,,,,,,,
08/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 10,48",Dividendo,,,,,,,,,,,,,,
08/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 7,77",Juros sobre capital próprio,,,,,,,,,,,,,,
14/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 66,00",Rendimentos,,,,,,,,,,,,,,
14/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 64,20",Rendimentos,,,,,,,,,,,,,,
14/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 227,70",Rendimentos,,,,,,,,,,,,,,
14/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 46,20",Rendimentos,,,,,,,,,,,,,,
19/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VIVT3,Real,"R$ 5,77",Juros sobre capital próprio,,,,,,,,,,,,,,
19/07/2022,7/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VIVT3,Real,"R$ 7,76",Juros sobre capital próprio,,,,,,,,,,,,,,
12/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 67,20",Rendimentos,,,,,,,,,,,,,,
12/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 73,78",Rendimentos,,,,,,,,,,,,,,
12/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
12/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 52,78",Rendimentos,,,,,,,,,,,,,,
15/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 65,53",Pgto. Juros,,,,,,,,,,,,,,
15/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 28,46",Pgto. Juros,,,,,,,,,,,,,,
17/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 2,43",Juros sobre capital próprio,,,,,,,,,,,,,,
17/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 1,84",Juros sobre capital próprio,,,,,,,,,,,,,,
17/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WEGE3,Real,"R$ 8,70",Dividendo,,,,,,,,,,,,,,
28/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GGBR4,Real,"R$ 24,85",Dividendo,,,,,,,,,,,,,,
30/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 1,70",Juros sobre capital próprio,,,,,,,,,,,,,,
30/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 18,50",Juros sobre capital próprio,,,,,,,,,,,,,,
31/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,EZTC3,Real,"R$ 4,70",Dividendo,,,,,,,,,,,,,,
31/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 2,19",Juros sobre capital próprio,,,,,,,,,,,,,,
31/08/2022,8/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 1,09",Dividendo,,,,,,,,,,,,,,
