Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
07/09/2022,9/2022,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
15/09/2022,9/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 67,20",Rendimentos,,,,,,,,,,,,,,
15/09/2022,9/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 73,78",Rendimentos,,,,,,,,,,,,,,
15/09/2022,9/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/09/2022,9/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 52,78",Rendimentos,,,,,,,,,,,,,,
29/09/2022,9/2022,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"R$ 5,35",Dividendo,,,,,,,,,,,,,,
29/09/2022,9/2022,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"R$ 10,98",Dividendo,,,,,,,,,,,,,,
30/09/2022,9/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,MDIA3,Real,"R$ 2,04",Juros sobre capital próprio,,,,,,,,,,,,,,
03/10/2022,10/2022,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"R$ 5,37",Dividendo,,,,,,,,,,,,,,
03/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,ITSA4,Real,"R$ 3,88",Juros sobre capital próprio,,,,,,,,,,,,,,
07/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 6,98",Juros sobre capital próprio,,,,,,,,,,,,,,
07/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,B3SA3,Real,"R$ 4,21",Dividendo,,,,,,,,,,,,,,
17/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 67,20",Rendimentos,,,,,,,,,,,,,,
17/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 73,78",Rendimentos,,,,,,,,,,,,,,
17/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
17/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 52,78",Rendimentos,,,,,,,,,,,,,,
18/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VIVT3,Real,"R$ 16,99",Dividendo,,,,,,,,,,,,,,
18/10/2022,10/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,VIVT3,Real,"R$ 26,66",Dividendo,,,,,,,,,,,,,,
16/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 69,44",Rendimentos,,,,,,,,,,,,,,
16/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 73,78",Rendimentos,,,,,,,,,,,,,,
16/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
16/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 52,78",Rendimentos,,,,,,,,,,,,,,
23/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 8,45",Dividendo,,,,,,,,,,,,,,
23/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,GRND3,Real,"R$ 4,14",Juros sobre capital próprio,,,,,,,,,,,,,,
25/11/2022,11/2022,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,WIZC3,Real,"R$ 45,47",Dividendo,,,,,,,,,,,,,,
30/11/2022,11/2022,NuInvest Corretora de Valores S.A,EZTC3,Real,"R$ 5,96",Dividendo,,,,,,,,,,,,,,
30/11/2022,11/2022,NuInvest Corretora de Valores S.A,CPLE11,Real,"R$ 43,61",Juros sobre capital próprio,,,,,,,,,,,,,,
30/11/2022,11/2022,NuInvest Corretora de Valores S.A,CPLE6,Real,"R$ 0,19",Juros sobre capital próprio,,,,,,,,,,,,,,
07/12/2022,12/2022,Sproutfi,JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,CYRE3,Real,"R$ 38,96",Dividendo,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 60,55",Dividendo,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 12,50",Juros sobre capital próprio,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 69,44",Rendimentos,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 73,78",Rendimentos,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/12/2022,12/2022,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 52,78",Rendimentos,,,,,,,,,,,,,,
20/12/2022,12/2022,Sproutfi,IVV,Dolar,"R$ 5,00",Dividendo,,,,,,,,,,,,,,
27/12/2022,12/2022,Sproutfi,ESPO,Dolar,"R$ 10,22",Dividendo,,,,,,,,,,,,,,
27/12/2022,12/2022,NuInvest Corretora de Valores S.A,SUZB3,Real,"R$ 34,10",Dividendo,,,,,,,,,,,,,,
29/12/2022,12/2022,Sproutfi,VNQ,Dolar,"R$ 16,05",Dividendo,,,,,,,,,,,,,,
29/12/2022,12/2022,NuInvest Corretora de Valores S.A,MDIA3,Real,"R$ 2,04",Juros sobre capital próprio,,,,,,,,,,,,,,
29/12/2022,12/2022,NuInvest Corretora de Valores S.A,FLRY3,Real,"R$ 37,55",Juros sobre capital próprio,,,,,,,,,,,,,,
29/12/2022,12/2022,NuInvest Corretora de Valores S.A,ABEV3,Real,"R$ 65,45",Juros sobre capital próprio,,,,,,,,,,,,,,
29/12/2022,12/2022,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 3,63",Dividendo,,,,,,,,,,,,,,
02/01/2023,1/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 4,27",Juros sobre capital próprio,,,,,,,,,,,,,,
03/01/2023,1/2023,Sproutfi,NOBL,Dolar,"R$ 7,97",Dividendo,,,,,,,,,,,,,,
06/01/2023,1/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 3,42",LEILÃO DE FRAÇÕES,,,,,,,,,,,,,,
13/01/2023,1/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 70,56",Rendimentos,,,,,,,,,,,,,,
13/01/2023,1/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 76,26",Rendimentos,,,,,,,,,,,,,,
13/01/2023,1/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 151,80",Rendimentos,,,,,,,,,,,,,,
13/01/2023,1/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 59,00",Rendimentos,,,,,,,,,,,,,,
14/01/2023,1/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 8,16",Juros sobre capital próprio,,,,,,,,,,,,,,
14/02/2023,2/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 75,04",Rendimentos,,,,,,,,,,,,,,
14/02/2023,2/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 79,38",Rendimentos,,,,,,,,,,,,,,
14/02/2023,2/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/02/2023,2/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 55,51",Rendimentos,,,,,,,,,,,,,,
15/02/2023,2/2023,NuInvest Corretora de Valores S.A,IPCA+ Juros,Real,"R$ 66,82",Pgto. Juros,,,,,,,,,,,,,,
15/02/2023,2/2023,NuInvest Corretora de Valores S.A,IPCA+ Juros,Real,"R$ 28,63",Pgto. Juros,,,,,,,,,,,,,,
08/03/2023,3/2023,Sproutfi,JNJ,Dolar,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
10/03/2023,3/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 25,57",Juros sobre capital próprio,,,,,,,,,,,,,,
14/03/2023,3/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 76,16",Rendimentos,,,,,,,,,,,,,,
14/03/2023,3/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 82,53",Rendimentos,,,,,,,,,,,,,,
14/03/2023,3/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/03/2023,3/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 57,95",Rendimentos,,,,,,,,,,,,,,
15/03/2023,3/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 14,93",Dividendo,,,,,,,,,,,,,,
15/03/2023,3/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 3,05",Juros sobre capital próprio,,,,,,,,,,,,,,
15/03/2023,3/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 2,48",Juros sobre capital próprio,,,,,,,,,,,,,,
23/03/2023,3/2023,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 7,00",Dividendo,,,,,,,,,,,,,,
30/03/2023,3/2023,Sproutfi,NOBL,Dolar,"R$ 4,80",Dividendo,,,,,,,,,,,,,,
30/03/2023,3/2023,Sproutfi,VNQ,Dolar,"R$ 10,91",Dividendo,,,,,,,,,,,,,,
30/03/2023,3/2023,Sproutfi,IVV,Dolar,"R$ 5,14",Dividendo,,,,,,,,,,,,,,
31/03/2023,3/2023,NuInvest Corretora de Valores S.A,EZTC3,Real,"R$ 3,49",Dividendo,,,,,,,,,,,,,,
31/03/2023,3/2023,NuInvest Corretora de Valores S.A,MDIA3,Real,"R$ 2,04",Juros sobre capital próprio,,,,,,,,,,,,,,
03/04/2023,4/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 4,30",Juros sobre capital próprio,,,,,,,,,,,,,,
10/04/2023,4/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 5,54",Dividendo,,,,,,,,,,,,,,
10/04/2023,4/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 7,73",Juros sobre capital próprio,,,,,,,,,,,,,,
11/04/2023,4/2023,NuInvest Corretora de Valores S.A,TRPL4,Real,"R$ 38,83",Juros sobre capital próprio,,,,,,,,,,,,,,
17/04/2023,4/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 80,08",Rendimentos,,,,,,,,,,,,,,
17/04/2023,4/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 85,68",Rendimentos,,,,,,,,,,,,,,
17/04/2023,4/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
17/04/2023,4/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 59,85",Rendimentos,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 3,36",Juros sobre capital próprio,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 5,38",Juros sobre capital próprio,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 2,01",Juros sobre capital próprio,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 2,79",Juros sobre capital próprio,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 1,68",Juros sobre capital próprio,,,,,,,,,,,,,,
18/04/2023,4/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 8,04",Juros sobre capital próprio,,,,,,,,,,,,,,
15/05/2023,5/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 86,80",Rendimentos,,,,,,,,,,,,,,
15/05/2023,5/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
15/05/2023,5/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/05/2023,5/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 64,60",Rendimentos,,,,,,,,,,,,,,
17/05/2023,5/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 264,92",Dividendo,,,,,,,,,,,,,,
17/05/2023,5/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 24,66",Juros sobre capital próprio,,,,,,,,,,,,,,
17/05/2023,5/2023,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 18,59",LEILÃO DE FRAÇÕES,,,,,,,,,,,,,,
29/05/2023,5/2023,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 33,38",Juros sobre capital próprio,,,,,,,,,,,,,,
31/05/2023,5/2023,NuInvest Corretora de Valores S.A,EZTC3,Real,"R$ 6,29",Dividendo,,,,,,,,,,,,,,
07/06/2023,6/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 17,97",Dividendo,,,,,,,,,,,,,,
07/06/2023,6/2023,Sproutfi,JNJ,Dolar,"R$ 0,43",Dividendo,,,,,,,,,,,,,,
14/06/2023,6/2023,Sproutfi,IVV,Dolar,"R$ 4,37",Dividendo,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,WIZC3,Real,"R$ 12,34",Dividendo,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,WIZC3,Real,"R$ 5,91",Juros sobre capital próprio,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 86,80",Rendimentos,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/06/2023,6/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 64,60",Rendimentos,,,,,,,,,,,,,,
27/06/2023,6/2023,NuInvest Corretora de Valores S.A,SAPR11,Real,"R$ 80,07",Juros sobre capital próprio,,,,,,,,,,,,,,
27/06/2023,6/2023,NuInvest Corretora de Valores S.A,SAPR11,Real,"R$ 44,35",Juros sobre capital próprio,,,,,,,,,,,,,,
29/06/2023,6/2023,Sproutfi,NOBL,Dolar,"R$ 6,93",Dividendo,,,,,,,,,,,,,,
30/06/2023,6/2023,NuInvest Corretora de Valores S.A,CPLE11,Real,"R$ 26,90",Juros sobre capital próprio,,,,,,,,,,,,,,
30/06/2023,6/2023,NuInvest Corretora de Valores S.A,CPLE6,Real,"R$ 0,12",Juros sobre capital próprio,,,,,,,,,,,,,,
30/06/2023,6/2023,NuInvest Corretora de Valores S.A,MDIA3,Real,"R$ 2,81",Juros sobre capital próprio,,,,,,,,,,,,,,
03/07/2023,7/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 4,34",Juros sobre capital próprio,,,,,,,,,,,,,,
06/07/2023,7/2023,Sproutfi,VNQ,Dolar,"R$ 15,69",Dividendo,,,,,,,,,,,,,,
07/07/2023,7/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 9,13",Dividendo,,,,,,,,,,,,,,
07/07/2023,7/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 8,90",Juros sobre capital próprio,,,,,,,,,,,,,,
14/07/2023,7/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
14/07/2023,7/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
14/07/2023,7/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 103,50",Rendimentos,,,,,,,,,,,,,,
14/07/2023,7/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 102,68",Rendimentos,,,,,,,,,,,,,,
18/07/2023,7/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 21,89",Dividendo,,,,,,,,,,,,,,
18/07/2023,7/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 13,22",Dividendo,,,,,,,,,,,,,,
14/08/2023,8/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
14/08/2023,8/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
14/08/2023,8/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/08/2023,8/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 64,60",Rendimentos,,,,,,,,,,,,,,
15/08/2023,8/2023,NuInvest Corretora de Valores S.A,IPCA+ Juros,Real,"R$ 65,35",Pgto. Juros,,,,,,,,,,,,,,
15/08/2023,8/2023,NuInvest Corretora de Valores S.A,IPCA+ Juros,Real,"R$ 30,29",Pgto. Juros,,,,,,,,,,,,,,
16/08/2023,8/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 9,58",Dividendo,,,,,,,,,,,,,,
16/08/2023,8/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 3,27",Juros sobre capital próprio,,,,,,,,,,,,,,
16/08/2023,8/2023,NuInvest Corretora de Valores S.A,WEGE3,Real,"R$ 2,99",Juros sobre capital próprio,,,,,,,,,,,,,,
18/08/2023,8/2023,NuInvest Corretora de Valores S.A,FLRY3,Real,"R$ 7,71",LEILÃO DE FRAÇÕES,,,,,,,,,,,,,,
25/08/2023,8/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 21,10",Juros sobre capital próprio,,,,,,,,,,,,,,
25/08/2023,8/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 14,19",Juros sobre capital próprio,,,,,,,,,,,,,,
29/08/2023,8/2023,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 33,11",Dividendo,,,,,,,,,,,,,,
31/08/2023,8/2023,NuInvest Corretora de Valores S.A,EZTC3,Real,"R$ 11,23",Dividendo,,,,,,,,,,,,,,
06/09/2023,9/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 4,78",Dividendo,,,,,,,,,,,,,,
15/09/2023,9/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
15/09/2023,9/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
15/09/2023,9/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
15/09/2023,9/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 64,60",Rendimentos,,,,,,,,,,,,,,
29/09/2023,9/2023,NuInvest Corretora de Valores S.A,MDIA3,Real,"R$ 2,81",Juros sobre capital próprio,,,,,,,,,,,,,,
02/10/2023,10/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 4,34",Juros sobre capital próprio,,,,,,,,,,,,,,
02/10/2023,10/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 8,15",Juros sobre capital próprio,,,,,,,,,,,,,,
02/10/2023,10/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 9,35",Juros sobre capital próprio,,,,,,,,,,,,,,
02/10/2023,10/2023,NuInvest Corretora de Valores S.A,ITSA4,Real,"R$ 8,07",Juros sobre capital próprio,,,,,,,,,,,,,,
03/10/2023,10/2023,Sproutfi,IVV,Dolar,"R$ 6,49",Dividendo,,,,,,,,,,,,,,
04/10/2023,10/2023,Sproutfi,VNQ,Dolar,"R$ 12,35",Dividendo,,,,,,,,,,,,,,
06/10/2023,10/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 8,42",Dividendo,,,,,,,,,,,,,,
06/10/2023,10/2023,NuInvest Corretora de Valores S.A,B3SA3,Real,"R$ 8,11",Juros sobre capital próprio,,,,,,,,,,,,,,
16/10/2023,10/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
16/10/2023,10/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
16/10/2023,10/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
16/10/2023,10/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 68,00",Rendimentos,,,,,,,,,,,,,,
18/10/2023,10/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 1,19",Juros sobre capital próprio,,,,,,,,,,,,,,
18/10/2023,10/2023,NuInvest Corretora de Valores S.A,VIVT3,Real,"R$ 6,52",Juros sobre capital próprio,,,,,,,,,,,,,,
31/10/2023,10/2023,NuInvest Corretora de Valores S.A,FLRY3,Real,"R$ 22,58",Juros sobre capital próprio,,,,,,,,,,,,,,
16/11/2023,11/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
16/11/2023,11/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
16/11/2023,11/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
16/11/2023,11/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 68,00",Rendimentos,,,,,,,,,,,,,,
30/11/2023,11/2023,NuInvest Corretora de Valores S.A,EZTC3,Real,"R$ 5,83",Dividendo,,,,,,,,,,,,,,
30/11/2023,11/2023,NuInvest Corretora de Valores S.A,CPLE11,Real,"R$ 33,95",Juros sobre capital próprio,,,,,,,,,,,,,,
06/12/2023,12/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 9,40",Dividendo,,,,,,,,,,,,,,
06/12/2023,12/2023,NuInvest Corretora de Valores S.A,GRND3,Real,"R$ 5,01",Juros sobre capital próprio,,,,,,,,,,,,,,
06/12/2023,12/2023,Sproutfi,JNJ,Dolar,"R$ 0,77",Dividendo,,,,,,,,,,,,,,
12/12/2023,12/2023,NuInvest Corretora de Valores S.A,WIZC3,Real,"R$ 69,95",Dividendo,,,,,,,,,,,,,,
12/12/2023,12/2023,NuInvest Corretora de Valores S.A,WIZC3,Real,"R$ 33,49",Juros sobre capital próprio,,,,,,,,,,,,,,
13/12/2023,12/2023,NuInvest Corretora de Valores S.A,GGBR4,Real,"R$ 36,19",Dividendo,,,,,,,,,,,,,,
14/12/2023,12/2023,NuInvest Corretora de Valores S.A,BCFF11,Real,"R$ 87,92",Rendimentos,,,,,,,,,,,,,,
14/12/2023,12/2023,NuInvest Corretora de Valores S.A,HFOF11,Real,"R$ 92,61",Rendimentos,,,,,,,,,,,,,,
14/12/2023,12/2023,NuInvest Corretora de Valores S.A,HGLG11,Real,"R$ 75,90",Rendimentos,,,,,,,,,,,,,,
14/12/2023,12/2023,NuInvest Corretora de Valores S.A,KNRI11,Real,"R$ 68,00",Rendimentos,,,,,,,,,,,,,,
26/12/2023,12/2023,Sproutfi,ESPO,Dolar,"R$ 14,60",Dividendo,,,,,,,,,,,,,,
